,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,2.81,22603971,BNGO
1,2022-11-11,2.66,50694821,BNGO
2,2022-11-04,2.29,36473329,BNGO
3,2022-10-28,2.28,50993743,BNGO
4,2022-10-21,2.14,29951073,BNGO
5,2022-10-14,2.05,31309957,BNGO
6,2022-10-07,1.98,42391700,BNGO
7,2022-09-30,1.83,19148621,BNGO
8,2022-09-23,1.86,22836837,BNGO
9,2022-09-16,2.23,25791448,BNGO
10,2022-09-09,2.51,17981014,BNGO
11,2022-09-02,2.31,25457457,BNGO
12,2022-08-26,2.58,32883658,BNGO
13,2022-08-19,2.66,63099699,BNGO
14,2022-08-12,3.6,142155007,BNGO
15,2022-08-05,2.41,43833803,BNGO
16,2022-07-29,1.86,19620674,BNGO
17,2022-07-22,1.82,38045768,BNGO
18,2022-07-15,1.54,17868563,BNGO
19,2022-07-08,1.63,24131780,BNGO
20,2022-07-01,1.34,26088565,BNGO
21,2022-06-24,1.62,33009229,BNGO
22,2022-06-17,1.43,32016814,BNGO
23,2022-06-10,1.5,21951812,BNGO
24,2022-06-03,1.66,26589615,BNGO
25,2022-05-27,1.75,27208110,BNGO
26,2022-05-20,1.67,28219533,BNGO
27,2022-05-13,1.62,45764672,BNGO
28,2022-05-06,1.56,35224419,BNGO
29,2022-04-29,1.63,32215684,BNGO
30,2022-04-22,1.73,28279037,BNGO
31,2022-04-14,2.07,24972089,BNGO
32,2022-04-08,2.2,34531867,BNGO
33,2022-04-01,2.67,41752678,BNGO
34,2022-03-25,2.37,29510168,BNGO
35,2022-03-18,2.34,47457869,BNGO
36,2022-03-11,1.78,35805953,BNGO
37,2022-03-04,1.905,41863556,BNGO
38,2022-02-25,2.1,32541058,BNGO
39,2022-02-18,2.02,32768223,BNGO
40,2022-02-11,2.19,36719290,BNGO
41,2022-02-04,2.13,45058970,BNGO
42,2022-01-28,1.94,53849493,BNGO
43,2022-01-21,2.15,33459198,BNGO
44,2022-01-14,2.55,46591348,BNGO
45,2022-01-07,2.72,41661920,BNGO
46,2021-12-31,2.99,50760511,BNGO
47,2021-12-23,3.24,23010727,BNGO
48,2021-12-17,3.4,36550245,BNGO
49,2021-12-10,3.42,41306821,BNGO
50,2021-12-03,3.4,46130064,BNGO
51,2021-11-26,4.0,38481154,BNGO
52,2021-11-19,4.41,48352992,BNGO
53,2021-11-12,5.12,41301710,BNGO
54,2021-11-05,5.52,80227708,BNGO
55,2021-10-29,5.08,37968192,BNGO
56,2021-10-22,5.15,26691356,BNGO
57,2021-10-15,5.16,31231237,BNGO
58,2021-10-08,5.15,35075279,BNGO
59,2021-10-01,5.22,42806931,BNGO
60,2021-09-24,5.49,40993728,BNGO
61,2021-09-17,5.56,44142005,BNGO
62,2021-09-10,5.57,27706989,BNGO
63,2021-09-03,5.86,33313287,BNGO
64,2021-08-27,5.88,35169217,BNGO
65,2021-08-20,5.39,41914823,BNGO
66,2021-08-13,5.69,36034336,BNGO
67,2021-08-06,6.32,52153067,BNGO
68,2021-07-30,5.93,36689905,BNGO
69,2021-07-23,5.97,47371815,BNGO
70,2021-07-16,5.77,54952749,BNGO
71,2021-07-09,6.75,46534820,BNGO
72,2021-07-02,6.72,82817588,BNGO
73,2021-06-25,7.52,103805359,BNGO
74,2021-06-18,7.62,82463477,BNGO
75,2021-06-11,7.58,192385646,BNGO
76,2021-06-04,6.87,73989541,BNGO
77,2021-05-28,6.17,83938331,BNGO
78,2021-05-21,5.52,112636743,BNGO
79,2021-05-14,5.4,190997490,BNGO
80,2021-05-07,5.41,96108876,BNGO
81,2021-04-30,6.37,148378277,BNGO
82,2021-04-23,6.16,183801418,BNGO
83,2021-04-16,5.66,101424099,BNGO
84,2021-04-09,7.29,58345328,BNGO
85,2021-04-01,7.83,67459044,BNGO
86,2021-03-26,7.75,112735427,BNGO
87,2021-03-19,9.03,91766557,BNGO
88,2021-03-12,9.38,184057533,BNGO
89,2021-03-05,7.15,171339760,BNGO
90,2021-02-26,9.73,159409271,BNGO
91,2021-02-19,13.57,136257042,BNGO
92,2021-02-12,13.7,234489742,BNGO
93,2021-02-05,11.05,189072011,BNGO
94,2021-01-29,11.05,388290870,BNGO
95,2021-01-22,9.8,434501651,BNGO
96,2021-01-15,8.43,731530583,BNGO
97,2021-01-08,4.7,1207844709,BNGO
98,2020-12-31,3.08,1644993313,BNGO
99,2020-12-24,0.705,124580971,BNGO
100,2020-12-18,0.54,31533116,BNGO
101,2020-12-11,0.4971,30956213,BNGO
102,2020-12-04,0.5018,38651598,BNGO
103,2020-11-27,0.4889,18048472,BNGO
104,2020-11-20,0.522,19657059,BNGO
105,2020-11-13,0.5184,29932431,BNGO
106,2020-11-06,0.4801,14020974,BNGO
107,2020-10-30,0.4917,16238495,BNGO
108,2020-10-23,0.5364,14115741,BNGO
109,2020-10-16,0.5728,19727510,BNGO
110,2020-10-09,0.605,21297238,BNGO
111,2020-10-02,0.62,35252396,BNGO
112,2020-09-25,0.5887,22810930,BNGO
113,2020-09-18,0.6171,40527279,BNGO
114,2020-09-11,0.5174,25169438,BNGO
115,2020-09-04,0.525,49416408,BNGO
116,2020-08-28,0.62,48375856,BNGO
117,2020-08-21,0.64,50023577,BNGO
118,2020-08-14,0.7043,58476672,BNGO
119,2020-08-07,0.8638,141586242,BNGO
120,2020-07-31,0.79,115684928,BNGO
121,2020-07-24,0.89,466554410,BNGO
122,2020-07-17,0.62,205304506,BNGO
123,2020-07-10,0.53,77803168,BNGO
124,2020-07-02,0.49,124130210,BNGO
125,2020-06-26,0.4411,37263400,BNGO
126,2020-06-19,0.465,52495459,BNGO
127,2020-06-12,0.5212,72494102,BNGO
128,2020-06-05,0.5268,58620203,BNGO
129,2020-05-29,0.449,39745599,BNGO
130,2020-05-22,0.47,48659880,BNGO
131,2020-05-15,0.3708,55638856,BNGO
132,2020-05-08,0.3664,13085686,BNGO
133,2020-05-01,0.3885,25639627,BNGO
134,2020-04-24,0.348,27758974,BNGO
135,2020-04-17,0.35,34740926,BNGO
136,2020-04-09,0.316,36386290,BNGO
137,2020-04-03,0.275,59352875,BNGO
138,2020-03-27,0.4475,7240401,BNGO
139,2020-03-20,0.4201,11451516,BNGO
140,2020-03-13,0.4801,34180557,BNGO
141,2020-03-06,0.7648,15766550,BNGO
142,2020-02-28,0.9931,7340705,BNGO
143,2020-02-21,1.11,4480685,BNGO
144,2020-02-14,1.0494,9224623,BNGO
145,2020-02-07,1.02,3059387,BNGO
146,2020-01-31,1.03,5102836,BNGO
147,2020-01-24,1.16,6475377,BNGO
148,2020-01-17,1.2,8094558,BNGO
149,2020-01-10,1.18,8048482,BNGO
150,2020-01-03,1.23,16175390,BNGO
