,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,55.53,30956197,COIN
1,2022-11-11,57.46,179081367,COIN
2,2022-11-04,58.82,64727594,COIN
3,2022-10-28,72.07,50046573,COIN
4,2022-10-21,66.38,51834187,COIN
5,2022-10-14,63.59,66472154,COIN
6,2022-10-07,67.0,54584884,COIN
7,2022-09-30,64.49,51624181,COIN
8,2022-09-23,61.88,55472130,COIN
9,2022-09-16,74.0,62670077,COIN
10,2022-09-09,80.87,40486130,COIN
11,2022-09-02,65.26,37344081,COIN
12,2022-08-26,66.74,43717023,COIN
13,2022-08-19,74.06,60406047,COIN
14,2022-08-12,90.49,97110716,COIN
15,2022-08-05,93.05,123496047,COIN
16,2022-07-29,62.96,76692156,COIN
17,2022-07-22,70.82,103783229,COIN
18,2022-07-15,53.79,49053364,COIN
19,2022-07-08,60.29,55264586,COIN
20,2022-07-01,49.04,56745820,COIN
21,2022-06-24,62.71,76085964,COIN
22,2022-06-17,51.22,87660523,COIN
23,2022-06-10,58.71,44464536,COIN
24,2022-06-03,66.69,56088844,COIN
25,2022-05-27,75.32,59945532,COIN
26,2022-05-20,66.15,82552958,COIN
27,2022-05-13,67.87,212759486,COIN
28,2022-05-06,103.74,34093761,COIN
29,2022-04-29,112.71,26192873,COIN
30,2022-04-22,131.52,22440098,COIN
31,2022-04-14,147.29,16782922,COIN
32,2022-04-08,160.94,18202362,COIN
33,2022-04-01,186.96,21186447,COIN
34,2022-03-25,186.71,17632909,COIN
35,2022-03-18,185.94,22259484,COIN
36,2022-03-11,160.07,19541188,COIN
37,2022-03-04,165.75,28825242,COIN
38,2022-02-25,176.83,23256524,COIN
39,2022-02-18,189.16,21078796,COIN
40,2022-02-11,194.53,24760706,COIN
41,2022-02-04,194.44,20896092,COIN
42,2022-01-28,177.58,38864342,COIN
43,2022-01-21,191.97,23745142,COIN
44,2022-01-14,230.03,24437390,COIN
45,2022-01-07,232.33,20760034,COIN
46,2021-12-31,252.37,17542775,COIN
47,2021-12-23,268.15,14233860,COIN
48,2021-12-17,243.35,19667440,COIN
49,2021-12-10,255.76,22967193,COIN
50,2021-12-03,265.65,27502273,COIN
51,2021-11-26,303.19,13921662,COIN
52,2021-11-19,332.55,21462349,COIN
53,2021-11-12,342.98,42091965,COIN
54,2021-11-05,337.05,26513664,COIN
55,2021-10-29,319.42,31052633,COIN
56,2021-10-22,300.84,50628586,COIN
57,2021-10-15,280.61,27628706,COIN
58,2021-10-08,248.14,17420087,COIN
59,2021-10-01,231.15,14993111,COIN
60,2021-09-24,231.82,14878832,COIN
61,2021-09-17,245.19,14463330,COIN
62,2021-09-10,248.32,15946406,COIN
63,2021-09-03,278.44,18146179,COIN
64,2021-08-27,259.12,18603403,COIN
65,2021-08-20,257.32,16186409,COIN
66,2021-08-13,261.25,43269717,COIN
67,2021-08-06,258.26,20284377,COIN
68,2021-07-30,236.58,19771933,COIN
69,2021-07-23,224.92,14057878,COIN
70,2021-07-16,225.01,17347446,COIN
71,2021-07-09,253.88,15824374,COIN
72,2021-07-02,240.72,25415459,COIN
73,2021-06-25,224.54,19653024,COIN
74,2021-06-18,229.29,17867620,COIN
75,2021-06-11,223.92,21878752,COIN
76,2021-06-04,228.79,14212685,COIN
77,2021-05-28,236.54,38791012,COIN
78,2021-05-21,224.35,51388026,COIN
79,2021-05-14,258.37,47917450,COIN
80,2021-05-07,263.7,26701924,COIN
81,2021-04-30,297.64,19821448,COIN
82,2021-04-23,291.6,64474796,COIN
