,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,98.72,55834641,GOOG
1,2022-11-11,96.73,156756091,GOOG
2,2022-11-04,86.7,205326512,GOOG
3,2022-10-28,96.58,215996225,GOOG
4,2022-10-21,101.48,120609640,GOOG
5,2022-10-14,97.18,110928107,GOOG
6,2022-10-07,99.57,107302624,GOOG
7,2022-09-30,96.15,119479277,GOOG
8,2022-09-23,99.17,117139582,GOOG
9,2022-09-16,103.63,165898749,GOOG
10,2022-09-09,111.78,86922394,GOOG
11,2022-09-02,108.68,110196139,GOOG
12,2022-08-26,111.3,96331223,GOOG
13,2022-08-19,118.12,84579291,GOOG
14,2022-08-12,122.65,85775104,GOOG
15,2022-08-05,118.22,97443418,GOOG
16,2022-07-29,116.64,161031217,GOOG
17,2022-07-22,108.36,162742916,GOOG
18,2022-07-15,2255.34,7872789,GOOG
19,2022-07-08,2403.37,6327410,GOOG
20,2022-07-01,2181.62,7442865,GOOG
21,2022-06-24,2370.76,6338224,GOOG
22,2022-06-17,2157.31,8712953,GOOG
23,2022-06-10,2228.55,6361793,GOOG
24,2022-06-03,2291.28,6618934,GOOG
25,2022-05-27,2255.98,9502792,GOOG
26,2022-05-20,2186.26,6980949,GOOG
27,2022-05-13,2330.31,8669141,GOOG
28,2022-05-06,2313.2,8151521,GOOG
29,2022-04-29,2299.33,10646302,GOOG
30,2022-04-22,2392.28,6837191,GOOG
31,2022-04-14,2545.06,4510844,GOOG
32,2022-04-08,2680.21,4853679,GOOG
33,2022-04-01,2814.0,6324711,GOOG
34,2022-03-25,2830.43,6035647,GOOG
35,2022-03-18,2736.03,8104474,GOOG
36,2022-03-11,2609.51,7877495,GOOG
37,2022-03-04,2642.44,6126694,GOOG
38,2022-02-25,2690.39,6714187,GOOG
39,2022-02-18,2609.35,7090337,GOOG
40,2022-02-11,2682.6,8965972,GOOG
41,2022-02-04,2860.32,14058203,GOOG
42,2022-01-28,2665.79,9586705,GOOG
43,2022-01-21,2601.84,5542521,GOOG
44,2022-01-14,2795.73,6554566,GOOG
45,2022-01-07,2740.09,7312554,GOOG
46,2021-12-31,2893.59,3941922,GOOG
47,2021-12-23,2942.85,3603731,GOOG
48,2021-12-17,2856.06,7348406,GOOG
49,2021-12-10,2973.5,5231949,GOOG
50,2021-12-03,2850.41,7217530,GOOG
51,2021-11-26,2856.12,3810851,GOOG
52,2021-11-19,2999.05,4762919,GOOG
53,2021-11-12,2992.91,4370162,GOOG
54,2021-11-05,2984.82,5782872,GOOG
55,2021-10-29,2965.41,8128196,GOOG
56,2021-10-22,2772.5,4742755,GOOG
57,2021-10-15,2833.5,4910199,GOOG
58,2021-10-08,2801.12,5629992,GOOG
59,2021-10-01,2729.25,7556112,GOOG
60,2021-09-24,2852.66,5367017,GOOG
61,2021-09-17,2829.27,7004342,GOOG
62,2021-09-10,2838.42,3917972,GOOG
63,2021-09-03,2895.5,5023164,GOOG
64,2021-08-27,2891.01,4427462,GOOG
65,2021-08-20,2768.74,4406099,GOOG
66,2021-08-13,2768.12,3540233,GOOG
67,2021-08-06,2740.72,4058399,GOOG
68,2021-07-30,2704.42,8141483,GOOG
