,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,10.15,34232646,HOOD
1,2022-11-11,10.47,151061114,HOOD
2,2022-11-04,12.28,69629514,HOOD
3,2022-10-28,11.5,37695281,HOOD
4,2022-10-21,10.14,35701643,HOOD
5,2022-10-14,9.89,31574743,HOOD
6,2022-10-07,10.8,38787155,HOOD
7,2022-09-30,10.1,38861238,HOOD
8,2022-09-23,9.44,62703994,HOOD
9,2022-09-16,10.25,111201940,HOOD
10,2022-09-09,10.6,49341239,HOOD
11,2022-09-02,9.45,33389936,HOOD
12,2022-08-26,9.38,32845387,HOOD
13,2022-08-19,9.26,60096574,HOOD
14,2022-08-12,10.93,54031408,HOOD
15,2022-08-05,10.4,103461863,HOOD
16,2022-07-29,9.05,33826563,HOOD
17,2022-07-22,9.08,46147109,HOOD
18,2022-07-15,8.41,47808541,HOOD
19,2022-07-08,9.0,49204659,HOOD
20,2022-07-01,8.18,144214122,HOOD
21,2022-06-24,8.0,112433666,HOOD
22,2022-06-17,7.19,116687686,HOOD
23,2022-06-10,7.81,130727613,HOOD
24,2022-06-03,9.17,72338344,HOOD
25,2022-05-27,10.38,66691246,HOOD
26,2022-05-20,10.08,87846006,HOOD
27,2022-05-13,10.69,153840364,HOOD
28,2022-05-06,10.12,108735828,HOOD
29,2022-04-29,9.805,105669920,HOOD
30,2022-04-22,10.26,67580732,HOOD
31,2022-04-14,11.38,49590410,HOOD
32,2022-04-08,11.24,81088935,HOOD
33,2022-04-01,13.5,197235362,HOOD
34,2022-03-25,12.39,82694608,HOOD
35,2022-03-18,13.44,121629133,HOOD
36,2022-03-11,11.02,97932231,HOOD
37,2022-03-04,10.96,74490858,HOOD
38,2022-02-25,11.61,85230105,HOOD
39,2022-02-18,11.81,97664185,HOOD
40,2022-02-11,13.32,118459341,HOOD
41,2022-02-04,15.18,152019281,HOOD
42,2022-01-28,12.73,186862963,HOOD
43,2022-01-21,12.98,74644234,HOOD
44,2022-01-14,15.17,91134959,HOOD
45,2022-01-07,15.89,148524549,HOOD
46,2021-12-31,17.76,67690580,HOOD
47,2021-12-23,18.9,54232610,HOOD
48,2021-12-17,19.1,103300767,HOOD
49,2021-12-10,20.13,74543260,HOOD
50,2021-12-03,21.55,106008923,HOOD
51,2021-11-26,27.92,32827811,HOOD
52,2021-11-19,28.99,48856838,HOOD
53,2021-11-12,35.21,43673129,HOOD
54,2021-11-05,37.01,39897083,HOOD
55,2021-10-29,34.97,78544351,HOOD
56,2021-10-22,39.59,23901134,HOOD
57,2021-10-15,41.03,17772619,HOOD
58,2021-10-08,41.78,14775733,HOOD
59,2021-10-01,41.9,20623018,HOOD
60,2021-09-24,44.91,43229539,HOOD
61,2021-09-17,42.38,23650639,HOOD
62,2021-09-10,41.17,26517758,HOOD
63,2021-09-03,43.35,41000122,HOOD
64,2021-08-27,46.87,56870760,HOOD
65,2021-08-20,42.64,75902670,HOOD
66,2021-08-13,50.63,99403100,HOOD
67,2021-08-06,55.01,439356631,HOOD
