,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,19.76,10641471,INFY
1,2022-11-11,19.75,38197173,INFY
2,2022-11-04,18.33,42659561,INFY
3,2022-10-28,18.79,39146386,INFY
4,2022-10-21,18.3,39782795,INFY
5,2022-10-14,17.81,77917960,INFY
6,2022-10-07,17.06,49311952,INFY
7,2022-09-30,16.97,43849983,INFY
8,2022-09-23,16.61,80541808,INFY
9,2022-09-16,17.38,100229232,INFY
10,2022-09-09,19.06,21374579,INFY
11,2022-09-02,18.09,28955871,INFY
12,2022-08-26,18.64,30987514,INFY
13,2022-08-19,19.78,29309280,INFY
14,2022-08-12,20.11,32980499,INFY
15,2022-08-05,20.31,36700519,INFY
16,2022-07-29,19.49,54842270,INFY
17,2022-07-22,18.88,51473305,INFY
18,2022-07-15,18.17,40599788,INFY
19,2022-07-08,19.06,44636353,INFY
20,2022-07-01,18.85,37902811,INFY
21,2022-06-24,18.67,46161165,INFY
22,2022-06-17,17.76,56693268,INFY
23,2022-06-10,18.33,32880795,INFY
24,2022-06-03,19.38,45034967,INFY
25,2022-05-27,19.0,59922953,INFY
26,2022-05-20,18.7,44326221,INFY
27,2022-05-13,19.45,68852012,INFY
28,2022-05-06,19.85,46492488,INFY
29,2022-04-29,19.87,67985716,INFY
30,2022-04-22,20.26,72487107,INFY
31,2022-04-14,20.46,55629698,INFY
32,2022-04-08,23.7,44902593,INFY
33,2022-04-01,24.61,36158528,INFY
34,2022-03-25,24.73,29391814,INFY
35,2022-03-18,25.04,79266334,INFY
36,2022-03-11,24.01,60902918,INFY
37,2022-03-04,22.46,43093620,INFY
38,2022-02-25,22.84,54098044,INFY
39,2022-02-18,22.51,40487077,INFY
40,2022-02-11,22.27,62915808,INFY
41,2022-02-04,22.89,55418065,INFY
42,2022-01-28,22.66,71885983,INFY
43,2022-01-21,23.41,53886785,INFY
44,2022-01-14,26.2,66908081,INFY
45,2022-01-07,24.2,39708899,INFY
46,2021-12-31,25.31,14557789,INFY
47,2021-12-23,24.73,17238741,INFY
48,2021-12-17,24.04,34465521,INFY
49,2021-12-10,23.19,28930431,INFY
50,2021-12-03,22.88,41476152,INFY
51,2021-11-26,22.2,28597348,INFY
52,2021-11-19,23.59,26771617,INFY
53,2021-11-12,23.7,27379540,INFY
54,2021-11-05,22.79,24039489,INFY
55,2021-10-29,22.28,46792650,INFY
56,2021-10-22,23.01,42754515,INFY
57,2021-10-15,23.38,72658399,INFY
58,2021-10-08,21.93,50617854,INFY
59,2021-10-01,22.33,40166991,INFY
60,2021-09-24,23.68,29326806,INFY
61,2021-09-17,22.85,29303304,INFY
62,2021-09-10,22.99,25276489,INFY
63,2021-09-03,24.03,28197010,INFY
64,2021-08-27,23.73,23837308,INFY
65,2021-08-20,23.88,22680311,INFY
66,2021-08-13,23.63,20374200,INFY
67,2021-08-06,22.81,27131985,INFY
68,2021-07-30,22.12,28109920,INFY
69,2021-07-23,21.73,22886694,INFY
70,2021-07-16,20.86,36636961,INFY
71,2021-07-09,21.34,20232785,INFY
72,2021-07-02,21.07,25490442,INFY
73,2021-06-25,21.25,26500154,INFY
74,2021-06-18,20.19,43453616,INFY
75,2021-06-11,20.54,44447428,INFY
76,2021-06-04,19.29,28305215,INFY
77,2021-05-28,19.34,19854934,INFY
78,2021-05-21,18.72,25828187,INFY
79,2021-05-14,18.16,28137557,INFY
80,2021-05-07,18.38,26194135,INFY
81,2021-04-30,18.08,29131982,INFY
82,2021-04-23,17.89,33673173,INFY
83,2021-04-16,18.18,63716305,INFY
84,2021-04-09,19.54,22068126,INFY
85,2021-04-01,19.01,29116583,INFY
86,2021-03-26,18.72,43764951,INFY
87,2021-03-19,18.75,48479718,INFY
88,2021-03-12,18.91,36091432,INFY
89,2021-03-05,18.28,61625442,INFY
90,2021-02-26,17.12,41576664,INFY
91,2021-02-19,17.94,35436527,INFY
92,2021-02-12,18.07,40879185,INFY
93,2021-02-05,17.63,26016582,INFY
94,2021-01-29,16.88,40422680,INFY
95,2021-01-22,18.18,26215067,INFY
