,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,8.25,21429996,JBLU
1,2022-11-11,8.11,51295510,JBLU
2,2022-11-04,7.59,61207107,JBLU
3,2022-10-28,7.76,76406403,JBLU
4,2022-10-21,7.16,64684597,JBLU
5,2022-10-14,6.67,55255421,JBLU
6,2022-10-07,6.61,55961789,JBLU
7,2022-09-30,6.63,66011699,JBLU
8,2022-09-23,6.91,73877532,JBLU
9,2022-09-16,7.92,55349655,JBLU
10,2022-09-09,8.27,49046629,JBLU
11,2022-09-02,7.63,55954642,JBLU
12,2022-08-26,8.03,41272945,JBLU
13,2022-08-19,8.38,46818176,JBLU
14,2022-08-12,9.14,50818860,JBLU
15,2022-08-05,8.68,80976283,JBLU
16,2022-07-29,8.42,50576840,JBLU
17,2022-07-22,8.37,50719093,JBLU
18,2022-07-15,8.1,55344780,JBLU
19,2022-07-08,8.21,37900664,JBLU
20,2022-07-01,8.53,59445623,JBLU
21,2022-06-24,8.62,41682932,JBLU
22,2022-06-17,8.54,57706719,JBLU
23,2022-06-10,9.54,45614893,JBLU
24,2022-06-03,10.47,33105192,JBLU
25,2022-05-27,10.84,44983054,JBLU
26,2022-05-20,10.19,54291554,JBLU
27,2022-05-13,10.06,54798269,JBLU
28,2022-05-06,10.62,53661465,JBLU
29,2022-04-29,11.01,73474765,JBLU
30,2022-04-22,12.87,56936870,JBLU
31,2022-04-14,12.78,46314105,JBLU
32,2022-04-08,11.9,113034293,JBLU
33,2022-04-01,14.8,30977264,JBLU
34,2022-03-25,14.56,36541591,JBLU
35,2022-03-18,14.59,49252761,JBLU
36,2022-03-11,12.59,60977820,JBLU
37,2022-03-04,13.21,45326388,JBLU
38,2022-02-25,15.52,27691942,JBLU
39,2022-02-18,15.5,38039810,JBLU
40,2022-02-11,15.18,44213240,JBLU
41,2022-02-04,14.48,36939079,JBLU
42,2022-01-28,13.9,50950374,JBLU
43,2022-01-21,13.77,27208839,JBLU
44,2022-01-14,14.85,35334390,JBLU
45,2022-01-07,15.11,42233872,JBLU
46,2021-12-31,14.24,28929250,JBLU
47,2021-12-23,14.67,27927197,JBLU
48,2021-12-17,13.91,37825430,JBLU
49,2021-12-10,14.35,40135568,JBLU
50,2021-12-03,13.6,52819110,JBLU
51,2021-11-26,13.62,28541050,JBLU
52,2021-11-19,14.4,34207260,JBLU
53,2021-11-12,15.16,28533608,JBLU
54,2021-11-05,16.12,44160630,JBLU
55,2021-10-29,14.03,38140325,JBLU
56,2021-10-22,14.64,32626447,JBLU
57,2021-10-15,15.28,34231342,JBLU
58,2021-10-08,15.54,35395873,JBLU
59,2021-10-01,16.31,39579778,JBLU
60,2021-09-24,16.05,40785845,JBLU
61,2021-09-17,15.22,30475257,JBLU
62,2021-09-10,14.68,30554425,JBLU
63,2021-09-03,14.94,27725228,JBLU
64,2021-08-27,15.42,30116375,JBLU
65,2021-08-20,14.16,32388367,JBLU
66,2021-08-13,15.35,32681750,JBLU
67,2021-08-06,15.25,37741754,JBLU
68,2021-07-30,14.79,47377196,JBLU
69,2021-07-23,15.53,52684427,JBLU
70,2021-07-16,14.84,37134161,JBLU
71,2021-07-09,16.47,28135474,JBLU
72,2021-07-02,17.1,44139778,JBLU
73,2021-06-25,17.18,28921744,JBLU
74,2021-06-18,17.31,35648966,JBLU
75,2021-06-11,18.65,33701255,JBLU
76,2021-06-04,19.06,30253659,JBLU
77,2021-05-28,20.1,27986390,JBLU
78,2021-05-21,19.4,29069281,JBLU
79,2021-05-14,19.68,26350407,JBLU
80,2021-05-07,19.56,32083828,JBLU
81,2021-04-30,20.36,37004285,JBLU
82,2021-04-23,20.28,36808701,JBLU
83,2021-04-16,20.3,35754324,JBLU
84,2021-04-09,21.06,40709248,JBLU
85,2021-04-01,20.37,27777084,JBLU
86,2021-03-26,19.69,60393654,JBLU
87,2021-03-19,21.0,47688562,JBLU
88,2021-03-12,20.435,54009112,JBLU
89,2021-03-05,18.63,45629563,JBLU
90,2021-02-26,18.43,60407901,JBLU
91,2021-02-19,17.39,27479707,JBLU
92,2021-02-12,16.45,36705337,JBLU
93,2021-02-05,15.795,53000172,JBLU
