,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,241.97,62513457,MSFT
1,2022-11-11,247.11,170431704,MSFT
2,2022-11-04,221.39,170779529,MSFT
3,2022-10-28,235.87,223443932,MSFT
4,2022-10-21,242.12,122568305,MSFT
5,2022-10-14,228.56,154871905,MSFT
6,2022-10-07,234.24,142125397,MSFT
7,2022-09-30,232.9,146921666,MSFT
8,2022-09-23,237.92,147215927,MSFT
9,2022-09-16,244.74,147336678,MSFT
10,2022-09-09,264.46,87823670,MSFT
11,2022-09-02,256.06,113799087,MSFT
12,2022-08-26,268.09,104858212,MSFT
13,2022-08-19,286.15,92198119,MSFT
14,2022-08-12,291.91,109536514,MSFT
15,2022-08-05,282.91,102685912,MSFT
16,2022-07-29,280.74,172010083,MSFT
17,2022-07-22,260.36,113061843,MSFT
18,2022-07-15,256.72,139761854,MSFT
19,2022-07-08,267.66,87314678,MSFT
20,2022-07-01,259.58,126633760,MSFT
21,2022-06-24,267.7,115674192,MSFT
22,2022-06-17,247.65,184152944,MSFT
23,2022-06-10,252.99,120518929,MSFT
24,2022-06-03,270.02,135187036,MSFT
25,2022-05-27,273.24,142680141,MSFT
26,2022-05-20,252.56,164627282,MSFT
27,2022-05-13,261.12,221997169,MSFT
28,2022-05-06,274.73,175633827,MSFT
29,2022-04-29,277.52,211924047,MSFT
30,2022-04-22,274.03,124741446,MSFT
31,2022-04-14,279.83,115664768,MSFT
32,2022-04-08,296.97,143204193,MSFT
33,2022-04-01,309.42,148667745,MSFT
34,2022-03-25,303.68,128192615,MSFT
35,2022-03-18,300.43,175744631,MSFT
36,2022-03-11,280.07,184358475,MSFT
37,2022-03-04,289.86,157402366,MSFT
38,2022-02-25,297.31,168916893,MSFT
39,2022-02-18,287.93,160446684,MSFT
40,2022-02-11,295.04,176800964,MSFT
41,2022-02-04,305.94,202857381,MSFT
42,2022-01-28,308.26,352537899,MSFT
43,2022-01-21,296.03,180568678,MSFT
44,2022-01-14,310.2,193141391,MSFT
45,2022-01-07,314.04,174012812,MSFT
46,2021-12-31,336.32,84417803,MSFT
47,2021-12-23,334.69,97516470,MSFT
48,2021-12-17,323.8,191737796,MSFT
49,2021-12-10,342.54,146125332,MSFT
50,2021-12-03,323.01,177395495,MSFT
51,2021-11-26,329.68,107337225,MSFT
52,2021-11-19,343.11,101090157,MSFT
53,2021-11-12,336.72,106622220,MSFT
54,2021-11-05,336.06,120621826,MSFT
55,2021-10-29,331.62,159314433,MSFT
56,2021-10-22,309.16,91315937,MSFT
57,2021-10-15,304.21,113344507,MSFT
58,2021-10-08,294.85,122462501,MSFT
59,2021-10-01,289.1,155541590,MSFT
60,2021-09-24,299.35,120872685,MSFT
61,2021-09-17,299.87,134785958,MSFT
62,2021-09-10,295.71,71791265,MSFT
63,2021-09-03,301.14,92659391,MSFT
64,2021-08-27,299.72,101283798,MSFT
65,2021-08-20,304.36,135072369,MSFT
66,2021-08-13,292.85,80543547,MSFT
67,2021-08-06,289.46,80827209,MSFT
68,2021-07-30,284.91,129074080,MSFT
69,2021-07-23,289.67,129711825,MSFT
70,2021-07-16,280.75,116956560,MSFT
71,2021-07-09,277.94,103360847,MSFT
72,2021-07-02,277.65,104384023,MSFT
73,2021-06-25,265.02,117966870,MSFT
74,2021-06-18,259.43,128993727,MSFT
75,2021-06-11,257.89,107035149,MSFT
76,2021-06-04,250.79,93208820,MSFT
77,2021-05-28,249.68,99588636,MSFT
78,2021-05-21,245.17,114541724,MSFT
79,2021-05-14,248.15,153151228,MSFT
80,2021-05-07,252.46,127807942,MSFT
81,2021-04-30,252.18,169214799,MSFT
82,2021-04-23,261.15,114067956,MSFT
83,2021-04-16,260.74,124563138,MSFT
84,2021-04-09,255.85,130514397,MSFT
85,2021-04-01,242.35,123980920,MSFT
86,2021-03-26,236.48,146927214,MSFT
87,2021-03-19,230.35,164979946,MSFT
88,2021-03-12,235.75,150656031,MSFT
89,2021-03-05,231.6,168775377,MSFT
90,2021-02-26,232.38,169414358,MSFT
91,2021-02-19,240.97,90368267,MSFT
92,2021-02-12,244.99,100112782,MSFT
93,2021-02-05,242.2,129501505,MSFT
94,2021-01-29,231.96,243806631,MSFT
95,2021-01-22,225.95,129180335,MSFT
96,2021-01-15,212.65,127375699,MSFT
97,2021-01-08,219.62,147534431,MSFT
98,2020-12-31,222.42,76380383,MSFT
99,2020-12-24,222.75,89075493,MSFT
100,2020-12-18,218.59,186710444,MSFT
101,2020-12-11,213.26,137791151,MSFT
102,2020-12-04,214.36,137074249,MSFT
