Date,Close/Last,Open,High,Low
2022-11-14,11196.22,11233.9,11350.12,11167.17
2022-11-11,11323.33,11124.75,11352.43,11069.83
2022-11-10,11114.15,10869.17,11119.11,10779.95
2022-11-09,10353.17,10531.64,10564.97,10344.01
2022-11-08,10616.2,10611.53,10745.64,10472.73
2022-11-07,10564.52,10516.94,10587.96,10428.91
2022-11-04,10475.25,10548.14,10553.63,10262.93
2022-11-03,10342.94,10399.45,10486.01,10319.54
2022-11-02,10524.8,10885.01,10993.24,10522.9
2022-11-01,10890.85,11154.74,11156.35,10881.19
2022-10-31,10988.15,11028.43,11047.94,10914
2022-10-28,11102.45,10766.2,11117.04,10766.2
2022-10-27,10792.67,10971.95,10998.73,10780.5
2022-10-26,10970.99,10969.02,11205.84,10948.38
2022-10-25,11199.12,10996.97,11210.38,10996.97
2022-10-24,10952.61,10867.07,10983.52,10713.33
2022-10-21,10859.72,10576.04,10875.72,10542.43
2022-10-20,10614.84,10657.41,10837.3,10574.55
2022-10-19,10680.51,10689.31,10808.04,10592.88
2022-10-18,10772.4,10963.99,10972.97,10670.12
2022-10-17,10675.8,10575.65,10696.59,10569.69
2022-10-14,10321.39,10742.81,10766.69,10308.81
2022-10-13,10649.15,10131.82,10697.71,10088.83
2022-10-12,10417.1,10437,10494.53,10372.21
2022-10-11,10426.19,10484.37,10608.84,10351.98
2022-10-10,10542.1,10659.95,10669.93,10449.04
2022-10-07,10652.4,10877.28,10891.93,10608.52
2022-10-06,11073.31,11129.04,11230.44,11051.27
2022-10-05,11148.64,11022.67,11210.32,10910.76
2022-10-04,11176.41,11054.72,11189.96,11044.04
2022-10-03,10815.43,10659.01,10875.46,10577.89
2022-09-30,10575.62,10697.71,10883.04,10572.33
2022-09-29,10737.51,10894.44,10899.47,10623.22
2022-09-28,11051.64,10817.52,11101.5,10776.34
2022-09-27,10829.5,10955.29,11040.98,10741.02
2022-09-26,10802.92,10833.38,11024,10789.05
2022-09-23,10867.93,10952.69,10958.29,10732.72
2022-09-22,11066.81,11167.38,11203.77,11024.64
2022-09-21,11220.19,11466.21,11613.57,11218.99
2022-09-20,11425.05,11440.14,11520.99,11343.72
2022-09-19,11535.02,11338.57,11538.13,11337.83
2022-09-16,11448.4,11401.21,11460.43,11316.92
2022-09-15,11552.36,11633.24,11760.73,11497.11
2022-09-14,11719.68,11680.41,11746.83,11602.76
2022-09-13,11633.57,11908.81,11957.97,11604.43
2022-09-12,12266.41,12174.94,12270.19,12169.28
2022-09-09,12112.31,11958.61,12132.67,11958.61
2022-09-08,11862.13,11679.86,11896.73,11660.53
2022-09-07,11791.9,11559.38,11819.07,11555.08
2022-09-06,11544.91,11643.03,11679.43,11471.5
2022-09-02,11630.86,11899.14,11945.91,11573.51
2022-09-01,11785.13,11707.44,11798.37,11546.52
2022-08-31,11816.2,11972.56,12027.43,11814.17
2022-08-30,11883.14,12093.06,12101.85,11790.02
2022-08-29,12017.67,12021.05,12124.87,11981.42
2022-08-26,12141.71,12630.58,12655.84,12141.52
2022-08-25,12639.27,12506.37,12641.26,12471.98
2022-08-24,12431.53,12375.15,12504.33,12350.16
2022-08-23,12381.3,12380.37,12490.85,12352.03
2022-08-22,12381.57,12523.16,12538.55,12353.73
2022-08-19,12705.22,12832.27,12859.01,12674.87
2022-08-18,12965.34,12937.79,13002.66,12873.49
2022-08-17,12938.12,12968.63,13053.51,12863.01
2022-08-16,13102.55,13082.64,13181.09,12979.24
2022-08-15,13128.05,12996.63,13146.06,12993.78
2022-08-12,13047.19,12866.31,13047.19,12821.22
2022-08-11,12779.91,12987.95,13026.24,12760.09
2022-08-10,12854.8,12793.44,12861.44,12698.61
2022-08-09,12493.93,12557.49,12582.91,12438.86
2022-08-08,12644.46,12703.72,12855.15,12597.75
2022-08-05,12657.55,12538.8,12720.44,12525.77
2022-08-04,12720.58,12675.04,12736.19,12600.78
2022-08-03,12668.16,12433.87,12699.64,12425.21
2022-08-02,12348.76,12479.78,12503.34,12260.48
2022-08-01,12368.98,12317.96,12499.72,12271.98
2022-07-29,12390.69,12239.69,12426.26,12181.13
2022-07-28,12162.59,12036.48,12179.09,11886.67
2022-07-27,12032.42,11756.19,12081.73,11718.38
2022-07-26,11562.57,11701.53,11711.31,11533.37
2022-07-25,11782.67,11837.96,11855.11,11707.53
2022-07-22,11834.11,12025.37,12093.02,11767.19
2022-07-21,12059.61,11914.15,12060.59,11812.72
2022-07-20,11897.65,11726.09,11939.96,11703.36
2022-07-19,11713.15,11515,11721.22,11448.97
2022-07-18,11360.05,11561.64,11629.03,11322.84
2022-07-15,11452.42,11379.36,11454.69,11295.33
2022-07-14,11251.19,11151.21,11279.97,11005.93
2022-07-13,11247.58,11056.55,11325.67,11031.27
2022-07-12,11264.73,11420.89,11483.17,11207.08
2022-07-11,11372.6,11524.49,11541.1,11348.06
2022-07-08,11635.31,11503.61,11689.7,11479.77
2022-07-07,11621.35,11422.6,11644.47,11412.88
2022-07-06,11361.85,11337.9,11443.15,11250.32
2022-07-05,11322.24,10964.18,11323.89,10911.45
2022-07-01,11127.85,11006.83,11132.55,10922.71
2022-06-30,11028.74,11048.25,11160.92,10850.01
2022-06-29,11177.89,11160.22,11226.33,11072.19
2022-06-28,11181.54,11542.24,11635.85,11177.68
2022-06-27,11524.55,11661.02,11677.49,11487.07
2022-06-24,11607.62,11351.31,11613.23,11337.78
2022-06-23,11232.19,11137.68,11260.27,11046.28
2022-06-22,11053.08,10941.95,11216.77,10938.06
2022-06-21,11069.3,10974.05,11164.99,10974.05
2022-06-17,10798.35,10697.55,10884.71,10638.72
2022-06-16,10646.1,10806.02,10831.07,10565.14
2022-06-15,11099.15,10968.4,11244.26,10866.39
2022-06-14,10828.35,10897.43,10926.81,10733.04
2022-06-13,10809.23,10986.85,11071.48,10775.14
2022-06-10,11340.02,11543.88,11569.15,11328.27
2022-06-09,11754.23,12016.47,12115.06,11751.98
2022-06-08,12086.27,12147.28,12235.78,12052.7
2022-06-07,12175.23,11925.81,12194.86,11888.61
2022-06-06,12061.37,12200.33,12245.4,12004.2
2022-06-03,12012.73,12097.12,12167.44,11966.62
2022-06-02,12316.9,11945.57,12320.12,11901.45
2022-06-01,11994.46,12176.89,12237.94,11901.43
2022-05-31,12081.39,12137.54,12190.08,11942.5
2022-05-27,12131.13,11869.69,12131.66,11856.82
2022-05-26,11740.65,11409.84,11796.97,11406.16
2022-05-25,11434.74,11225.03,11511.9,11211.85
2022-05-24,11264.45,11326.44,11351.61,11092.48
2022-05-23,11535.27,11395.47,11552.07,11304.56
2022-05-20,11354.62,11542.67,11552.21,11035.69
2022-05-19,11388.5,11364.4,11562.82,11313.31
2022-05-18,11418.15,11790.68,11826.22,11381.69
2022-05-17,11984.52,11887.98,11988.43,11754.28
2022-05-16,11662.79,11727.14,11804.59,11627.53
2022-05-13,11805,11555.97,11856.71,11510.26
2022-05-12,11370.96,11199.25,11547.33,11108.76
