,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,3.22,89466529,TBLT
1,2022-11-11,2.2,2322610,TBLT
2,2022-11-04,2.03,1507153,TBLT
3,2022-10-28,2.15,2634914,TBLT
4,2022-10-21,2.08,2311608,TBLT
5,2022-10-14,2.16,4679310,TBLT
6,2022-10-07,2.59,9489425,TBLT
7,2022-09-30,2.04,5643570,TBLT
8,2022-09-23,2.03,3860823,TBLT
9,2022-09-16,2.36,4871886,TBLT
10,2022-09-09,2.82,13852749,TBLT
11,2022-09-02,2.62,6416688,TBLT
12,2022-08-26,3.41,12633420,TBLT
13,2022-08-19,4.85,30562638,TBLT
14,2022-08-12,5.44,16410284,TBLT
15,2022-08-05,6.62,65496234,TBLT
16,2022-07-29,7.09,195277507,TBLT
17,2022-07-22,7.98,287121326,TBLT
18,2022-07-15,2.64,79572387,TBLT
19,2022-07-08,2.02,3803927,TBLT
20,2022-07-01,1.96,39758560,TBLT
21,2022-06-24,2.7,186903399,TBLT
22,2022-06-17,1.48,8701299,TBLT
23,2022-06-10,3.98,1369767,TBLT
24,2022-06-03,4.82,558619,TBLT
25,2022-05-27,5.0,1040201,TBLT
26,2022-05-20,6.82,587678,TBLT
27,2022-05-13,9.53,413807,TBLT
28,2022-05-06,10.51,1014239,TBLT
29,2022-04-29,10.95,2665626,TBLT
30,2022-04-22,0.1762,323877797,TBLT
31,2022-04-14,0.1562,5651680,TBLT
32,2022-04-08,0.1587,12275880,TBLT
33,2022-04-01,0.1735,13275739,TBLT
34,2022-03-25,0.1832,12288589,TBLT
35,2022-03-18,0.195,19600836,TBLT
36,2022-03-11,0.166,13038272,TBLT
37,2022-03-04,0.1669,42558903,TBLT
38,2022-02-25,0.1568,22128773,TBLT
39,2022-02-18,0.1675,82338625,TBLT
40,2022-02-11,0.2689,3779571,TBLT
41,2022-02-04,0.2869,4716241,TBLT
42,2022-01-28,0.2634,9193795,TBLT
43,2022-01-21,0.2703,11840779,TBLT
44,2022-01-14,0.3166,9758091,TBLT
45,2022-01-07,0.372,5799337,TBLT
46,2021-12-31,0.365,13139565,TBLT
47,2021-12-23,0.417,7855648,TBLT
48,2021-12-17,0.4139,9388579,TBLT
49,2021-12-10,0.3992,8112697,TBLT
50,2021-12-03,0.3728,9432710,TBLT
51,2021-11-26,0.4032,10053006,TBLT
52,2021-11-19,0.4249,28885633,TBLT
53,2021-11-12,0.5163,10113475,TBLT
54,2021-11-05,0.5183,11000285,TBLT
55,2021-10-29,0.517,15180743,TBLT
56,2021-10-22,0.5195,31304188,TBLT
57,2021-10-15,0.505,10401929,TBLT
58,2021-10-08,0.4872,10693148,TBLT
59,2021-10-01,0.508,18371673,TBLT
60,2021-09-24,0.5141,12162510,TBLT
61,2021-09-17,0.523,11505800,TBLT
62,2021-09-10,0.5702,17083583,TBLT
63,2021-09-03,0.5696,19456452,TBLT
64,2021-08-27,0.5376,15782826,TBLT
65,2021-08-20,0.491,57009037,TBLT
66,2021-08-13,0.683,22134379,TBLT
67,2021-08-06,0.6378,20311012,TBLT
68,2021-07-30,0.6104,17224879,TBLT
69,2021-07-23,0.6065,34841740,TBLT
70,2021-07-16,0.6151,161526477,TBLT
71,2021-07-09,1.05,230800742,TBLT
72,2021-07-02,0.757,6433650,TBLT
73,2021-06-25,0.86,7581705,TBLT
74,2021-06-18,0.7901,25875383,TBLT
75,2021-06-11,0.7637,8413185,TBLT
76,2021-06-04,0.72,11131569,TBLT
77,2021-05-28,0.715,6670769,TBLT
78,2021-05-21,0.74,28187412,TBLT
79,2021-05-14,0.64,12645804,TBLT
80,2021-05-07,0.725,16164417,TBLT
81,2021-04-30,0.7591,5770906,TBLT
82,2021-04-23,0.7278,6985196,TBLT
83,2021-04-16,0.7232,17070411,TBLT
84,2021-04-09,0.9338,11607114,TBLT
85,2021-04-01,0.9468,20943103,TBLT
86,2021-03-26,1.15,16543750,TBLT
87,2021-03-19,1.24,19042647,TBLT
88,2021-03-12,1.17,13032831,TBLT
89,2021-03-05,0.9965,21484124,TBLT
90,2021-02-26,1.13,34447456,TBLT
91,2021-02-19,1.36,22404546,TBLT
92,2021-02-12,1.48,35350494,TBLT
93,2021-02-05,1.38,22408211,TBLT
94,2021-01-29,1.42,44577133,TBLT
95,2021-01-22,1.3,26529459,TBLT
96,2021-01-15,1.26,40748414,TBLT
97,2021-01-08,0.926,28815126,TBLT
98,2020-12-31,0.793,9070141,TBLT
99,2020-12-24,0.8199,8234918,TBLT
100,2020-12-18,0.8,7115992,TBLT
101,2020-12-11,0.753,24155182,TBLT
102,2020-12-04,0.8024,5900637,TBLT
103,2020-11-27,0.83,5755058,TBLT
104,2020-11-20,0.8279,7636030,TBLT
105,2020-11-13,0.78,18941768,TBLT
106,2020-11-06,0.6996,10599436,TBLT
107,2020-10-30,0.681,5262396,TBLT
108,2020-10-23,0.7677,4999327,TBLT
109,2020-10-16,0.83,11883983,TBLT
110,2020-10-09,0.845,15853526,TBLT
111,2020-10-02,0.8337,14253653,TBLT
112,2020-09-25,0.6635,5945463,TBLT
113,2020-09-18,0.6523,2855956,TBLT
114,2020-09-11,0.6253,3426960,TBLT
115,2020-09-04,0.7148,7994673,TBLT
116,2020-08-28,0.69,5362040,TBLT
117,2020-08-21,0.7128,18776412,TBLT
118,2020-08-14,0.7621,43408208,TBLT
119,2020-08-07,0.7,5179247,TBLT
120,2020-07-31,0.701,7024637,TBLT
121,2020-07-24,0.715,4110397,TBLT
122,2020-07-17,0.74,9316882,TBLT
123,2020-07-10,0.756,17227016,TBLT
124,2020-07-02,0.781,6642418,TBLT
125,2020-06-26,0.78,10674484,TBLT
126,2020-06-19,0.836,21588251,TBLT
127,2020-06-12,0.86,51196757,TBLT
128,2020-06-05,0.898,27623860,TBLT
129,2020-05-29,0.871,24578742,TBLT
130,2020-05-22,1.25,11419512,TBLT
131,2020-05-15,1.2,19557840,TBLT
132,2020-05-08,1.41,20902329,TBLT
133,2020-05-01,1.26,10932755,TBLT
134,2020-04-24,1.37,8455885,TBLT
135,2020-04-17,1.37,74210579,TBLT
136,2020-04-09,0.168,164683808,TBLT
137,2020-04-03,0.159,184608536,TBLT
138,2020-03-27,0.15,48776206,TBLT
139,2020-03-20,0.138,41394607,TBLT
140,2020-03-13,0.17,93555543,TBLT
141,2020-03-06,0.177,76048588,TBLT
142,2020-02-28,0.18,123622215,TBLT
143,2020-02-21,0.242,213119474,TBLT
144,2020-02-14,0.146,33893423,TBLT
145,2020-02-07,0.15,96071376,TBLT
146,2020-01-31,0.156,81503819,TBLT
147,2020-01-24,0.158,50752233,TBLT
148,2020-01-17,0.333,10999787,TBLT
149,2020-01-10,0.39,36001775,TBLT
150,2020-01-03,0.25,14598458,TBLT
151,2019-12-27,0.189,4276135,TBLT
152,2019-12-20,0.174,5462300,TBLT
153,2019-12-13,0.18,7655681,TBLT
154,2019-12-06,0.167,5647408,TBLT
155,2019-11-29,0.197,18403478,TBLT
156,2019-11-22,0.16,7552512,TBLT
157,2019-11-15,0.211,5531745,TBLT
158,2019-11-08,0.285,1678896,TBLT
159,2019-11-01,0.287,1253700,TBLT
160,2019-10-25,0.318,2469453,TBLT
161,2019-10-18,0.316,2448456,TBLT
162,2019-10-11,0.34,2676366,TBLT
163,2019-10-04,0.319,2188638,TBLT
164,2019-09-27,0.33,1743432,TBLT
165,2019-09-20,0.356,2457228,TBLT
166,2019-09-13,0.37,3484733,TBLT
167,2019-09-06,0.378,4725270,TBLT
168,2019-08-30,0.405,16562898,TBLT
169,2019-08-23,0.366,12597664,TBLT
170,2019-08-16,0.5399,19034270,TBLT
171,2019-08-09,0.52,6311278,TBLT
172,2019-08-02,0.469,9235262,TBLT
173,2019-07-26,0.41,18899658,TBLT
174,2019-07-19,0.39,11350449,TBLT
175,2019-07-12,0.389,6650011,TBLT
176,2019-07-05,0.462,13521887,TBLT
177,2019-06-28,0.349,5163088,TBLT
178,2019-06-21,0.384,3580421,TBLT
179,2019-06-14,0.438,8967730,TBLT
180,2019-06-07,0.508,6878713,TBLT
181,2019-05-31,0.61,6336804,TBLT
182,2019-05-24,0.75,7471688,TBLT
183,2019-05-17,0.86,7422334,TBLT
184,2019-05-10,1.09,32724333,TBLT
185,2019-05-03,1.055,4870242,TBLT
186,2019-04-26,1.16,4485416,TBLT
187,2019-04-18,1.19,2830485,TBLT
188,2019-04-12,1.35,4747239,TBLT
189,2019-04-05,1.51,2417281,TBLT
190,2019-03-29,1.73,4250177,TBLT
191,2019-03-22,1.7,3847478,TBLT
192,2019-03-15,1.52,8624506,TBLT
193,2019-03-08,1.55,3413717,TBLT
194,2019-03-01,1.61,5563551,TBLT
195,2019-02-22,1.8,1557280,TBLT
196,2019-02-15,2.02,6178127,TBLT
197,2019-02-08,2.69,1051227,TBLT
198,2019-02-01,2.72,6716181,TBLT
199,2019-01-25,3.04,7771166,TBLT
200,2019-01-18,2.945,33337141,TBLT
201,2019-01-11,1.74,5780284,TBLT
202,2019-01-04,1.04,489340,TBLT
203,2018-12-28,1.1246,401476,TBLT
204,2018-12-21,0.96,1972111,TBLT
205,2018-12-14,1.54,302318,TBLT
