,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,99.23,40277091,TLT
1,2022-11-11,97.89,111844817,TLT
2,2022-11-04,94.22,119211156,TLT
3,2022-10-28,96.8,129914577,TLT
4,2022-10-21,93.17,133048104,TLT
5,2022-10-14,98.57,119372256,TLT
6,2022-10-07,100.99,90283505,TLT
7,2022-09-30,102.45,144609951,TLT
8,2022-09-23,105.7,106367204,TLT
9,2022-09-16,107.07,79207661,TLT
10,2022-09-09,108.31,68845787,TLT
11,2022-09-02,110.22,77716063,TLT
12,2022-08-26,113.62,82436129,TLT
13,2022-08-19,113.04,61298156,TLT
14,2022-08-12,115.55,73208423,TLT
15,2022-08-05,116.47,83097282,TLT
16,2022-07-29,117.43,87423445,TLT
17,2022-07-22,118.55,66702530,TLT
18,2022-07-15,116.14,84469665,TLT
19,2022-07-08,112.5,65303027,TLT
20,2022-07-01,115.82,86347550,TLT
21,2022-06-24,112.56,80198085,TLT
22,2022-06-17,112.08,131718509,TLT
23,2022-06-10,113.77,84014479,TLT
24,2022-06-03,116.03,69100947,TLT
25,2022-05-27,119.08,79827618,TLT
26,2022-05-20,118.51,92146994,TLT
27,2022-05-13,115.98,141775860,TLT
28,2022-05-06,113.67,157146123,TLT
29,2022-04-29,119.45,109244032,TLT
30,2022-04-22,119.99,118936418,TLT
31,2022-04-14,120.75,104608904,TLT
32,2022-04-08,125.12,110805117,TLT
33,2022-04-01,132.38,96678327,TLT
34,2022-03-25,128.66,110920562,TLT
35,2022-03-18,133.44,141054869,TLT
36,2022-03-11,134.91,113314037,TLT
37,2022-03-04,140.24,138383340,TLT
38,2022-02-25,136.87,80461929,TLT
39,2022-02-18,138.23,99862620,TLT
40,2022-02-11,138.25,117687275,TLT
41,2022-02-04,139.01,94052868,TLT
42,2022-01-28,143.13,98588554,TLT
43,2022-01-21,143.63,79896865,TLT
44,2022-01-14,142.1,90666230,TLT
45,2022-01-07,142.26,114521607,TLT
