,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,11.47,22480742,VOD
1,2022-11-11,12.47,38546170,VOD
2,2022-11-04,12.08,37503582,VOD
3,2022-10-28,11.77,37808055,VOD
4,2022-10-21,11.31,35679799,VOD
5,2022-10-14,11.22,48755851,VOD
6,2022-10-07,11.3,36088378,VOD
7,2022-09-30,11.33,46193794,VOD
8,2022-09-23,11.97,35491530,VOD
9,2022-09-16,12.48,28022911,VOD
10,2022-09-09,12.7,23613418,VOD
11,2022-09-02,13.08,24398235,VOD
12,2022-08-26,13.54,21536136,VOD
13,2022-08-19,14.4,19992351,VOD
14,2022-08-12,14.84,17914895,VOD
15,2022-08-05,14.69,17490097,VOD
16,2022-07-29,14.76,32047272,VOD
17,2022-07-22,15.42,23813158,VOD
18,2022-07-15,15.35,18573150,VOD
19,2022-07-08,15.45,16754139,VOD
20,2022-07-01,15.61,29936547,VOD
21,2022-06-24,15.66,28456860,VOD
22,2022-06-17,15.49,43641129,VOD
23,2022-06-10,15.59,29645394,VOD
24,2022-06-03,15.68,23157486,VOD
25,2022-05-27,16.63,46178838,VOD
26,2022-05-20,15.33,33571200,VOD
27,2022-05-13,14.63,35192866,VOD
28,2022-05-06,15.03,36757444,VOD
29,2022-04-29,15.19,35659193,VOD
30,2022-04-22,16.53,19479707,VOD
31,2022-04-14,17.5,18541544,VOD
32,2022-04-08,16.98,21174308,VOD
33,2022-04-01,16.92,25157916,VOD
34,2022-03-25,16.78,20845920,VOD
35,2022-03-18,17.05,30940981,VOD
36,2022-03-11,15.69,46519977,VOD
37,2022-03-04,16.4,32483113,VOD
38,2022-02-25,18.01,23991030,VOD
39,2022-02-18,18.63,22199752,VOD
40,2022-02-11,18.61,47957471,VOD
41,2022-02-04,18.2,40403862,VOD
42,2022-01-28,17.77,58099252,VOD
43,2022-01-21,15.83,23147701,VOD
44,2022-01-14,16.45,32416525,VOD
45,2022-01-07,15.83,33063241,VOD
46,2021-12-31,14.93,20639050,VOD
47,2021-12-23,15.22,20077358,VOD
48,2021-12-17,15.2,35402223,VOD
49,2021-12-10,15.1,39423115,VOD
50,2021-12-03,14.73,30276270,VOD
51,2021-11-26,14.94,20840532,VOD
52,2021-11-19,15.48,25056042,VOD
53,2021-11-12,15.47,20770663,VOD
54,2021-11-05,15.15,44121304,VOD
55,2021-10-29,14.95,22573404,VOD
56,2021-10-22,15.48,19120419,VOD
57,2021-10-15,15.32,18773808,VOD
58,2021-10-08,15.43,16278883,VOD
59,2021-10-01,15.51,22665140,VOD
60,2021-09-24,15.85,26142024,VOD
61,2021-09-17,15.97,29303536,VOD
62,2021-09-10,16.32,12863992,VOD
63,2021-09-03,16.97,12607662,VOD
64,2021-08-27,17.23,13455364,VOD
65,2021-08-20,16.99,15452983,VOD
66,2021-08-13,16.95,12552947,VOD
67,2021-08-06,16.74,18906920,VOD
68,2021-07-30,16.33,19260875,VOD
69,2021-07-23,16.5,25066002,VOD
70,2021-07-16,16.29,20476504,VOD
71,2021-07-09,16.67,15648340,VOD
72,2021-07-02,17.15,17996848,VOD
73,2021-06-25,17.29,18191299,VOD
74,2021-06-18,17.89,17058924,VOD
75,2021-06-11,18.59,13529823,VOD
76,2021-06-04,18.48,13251320,VOD
77,2021-05-28,18.47,24600212,VOD
78,2021-05-21,18.37,36960255,VOD
79,2021-05-14,20.08,16210546,VOD
80,2021-05-07,20.02,14786225,VOD
81,2021-04-30,18.95,12163159,VOD
82,2021-04-23,18.69,13024399,VOD
83,2021-04-16,18.95,11662658,VOD
84,2021-04-09,18.68,13262187,VOD
85,2021-04-01,18.73,10900768,VOD
86,2021-03-26,18.87,20102565,VOD
87,2021-03-19,18.74,21483158,VOD
88,2021-03-12,18.87,25540890,VOD
89,2021-03-05,17.71,15050202,VOD
90,2021-02-26,17.18,19488570,VOD
91,2021-02-19,18.49,9466215,VOD
92,2021-02-12,18.7,13938536,VOD
93,2021-02-05,18.59,26365439,VOD
94,2021-01-29,17.15,20479631,VOD
95,2021-01-22,17.58,10576389,VOD
96,2021-01-15,17.36,14549359,VOD
97,2021-01-08,17.54,18731502,VOD
98,2020-12-31,16.48,11496858,VOD
99,2020-12-24,16.71,13362717,VOD
100,2020-12-18,17.15,25817330,VOD
101,2020-12-11,17.21,19904646,VOD
102,2020-12-04,17.55,19880526,VOD
103,2020-11-27,16.85,9404343,VOD
104,2020-11-20,16.47,20838756,VOD
105,2020-11-13,16.12,26164617,VOD
106,2020-11-06,13.97,17276507,VOD
107,2020-10-30,13.51,25044921,VOD
108,2020-10-23,14.84,30078345,VOD
109,2020-10-16,14.28,15010340,VOD
110,2020-10-09,14.63,18059449,VOD
111,2020-10-02,13.46,19311277,VOD
112,2020-09-25,13.36,24266763,VOD
113,2020-09-18,14.03,20650307,VOD
114,2020-09-11,14.12,15411135,VOD
115,2020-09-04,14.18,20346942,VOD
116,2020-08-28,14.94,12459755,VOD
117,2020-08-21,14.99,13281754,VOD
118,2020-08-14,15.59,21206566,VOD
119,2020-08-07,15.41,14874366,VOD
120,2020-07-31,15.2,28916932,VOD
121,2020-07-24,15.61,14949168,VOD
122,2020-07-17,16.28,15298258,VOD
123,2020-07-10,15.67,9272057,VOD
124,2020-07-02,16.06,9131461,VOD
125,2020-06-26,15.41,12262970,VOD
126,2020-06-19,15.65,13396709,VOD
127,2020-06-12,15.96,21624098,VOD
128,2020-06-05,17.56,15319715,VOD
129,2020-05-29,16.51,14556368,VOD
130,2020-05-22,15.91,25015564,VOD
131,2020-05-15,14.73,26330963,VOD
132,2020-05-08,14.12,13783030,VOD
133,2020-05-01,13.61,27559192,VOD
134,2020-04-24,13.64,17462630,VOD
135,2020-04-17,13.78,16524715,VOD
136,2020-04-09,14.22,14445490,VOD
137,2020-04-03,13.54,21202473,VOD
138,2020-03-27,14.32,30707735,VOD
139,2020-03-20,12.68,38256621,VOD
140,2020-03-13,13.7,33173020,VOD
141,2020-03-06,17.76,25623739,VOD
142,2020-02-28,17.5,21146496,VOD
143,2020-02-21,20.06,16324306,VOD
144,2020-02-14,19.46,10125717,VOD
145,2020-02-07,19.69,18228886,VOD
146,2020-01-31,19.61,11883774,VOD
147,2020-01-24,20.4,11842165,VOD
148,2020-01-17,20.09,14989152,VOD
149,2020-01-10,19.69,12160738,VOD
150,2020-01-03,19.29,7675383,VOD
151,2019-12-27,19.62,7849058,VOD
152,2019-12-20,19.54,17308107,VOD
153,2019-12-13,19.53,18419754,VOD
154,2019-12-06,18.93,16885087,VOD
155,2019-11-29,19.82,12771558,VOD
156,2019-11-22,20.02,13647678,VOD
157,2019-11-15,19.85,21201895,VOD
158,2019-11-08,20.68,13917174,VOD
159,2019-11-01,20.47,10720862,VOD
160,2019-10-25,20.5,13263550,VOD
161,2019-10-18,20.61,14306221,VOD
162,2019-10-11,20.22,15887441,VOD
163,2019-10-04,19.48,17872502,VOD
164,2019-09-27,19.83,14790083,VOD
165,2019-09-20,19.85,16104850,VOD
166,2019-09-13,19.98,15828401,VOD
167,2019-09-06,19.15,12694194,VOD
168,2019-08-30,18.82,14882279,VOD
169,2019-08-23,18.29,14263959,VOD
170,2019-08-16,18.34,15462302,VOD
171,2019-08-09,18.01,14516278,VOD
172,2019-08-02,18.32,25512605,VOD
173,2019-07-26,18.25,27576119,VOD
174,2019-07-19,16.11,17477343,VOD
175,2019-07-12,16.49,17159955,VOD
176,2019-07-05,16.83,10931272,VOD
177,2019-06-28,16.33,18712587,VOD
178,2019-06-21,16.14,15053698,VOD
179,2019-06-14,16.0,14690399,VOD
180,2019-06-07,16.44,21592319,VOD
181,2019-05-31,16.21,20957531,VOD
182,2019-05-24,15.99,23310688,VOD
