,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,11.33,53901317,WBD
1,2022-11-11,11.84,210335251,WBD
2,2022-11-04,10.43,170541074,WBD
3,2022-10-28,12.95,110371589,WBD
4,2022-10-21,13.49,104021483,WBD
5,2022-10-14,12.43,121251580,WBD
6,2022-10-07,11.98,82502460,WBD
7,2022-09-30,11.5,109997587,WBD
8,2022-09-23,11.79,125323821,WBD
9,2022-09-16,12.74,120151851,WBD
10,2022-09-09,13.03,85744100,WBD
11,2022-09-02,13.06,112450740,WBD
12,2022-08-26,13.16,135876706,WBD
13,2022-08-19,13.73,141794952,WBD
14,2022-08-12,13.68,166630211,WBD
15,2022-08-05,14.59,169012551,WBD
16,2022-07-29,15.0,93074107,WBD
17,2022-07-22,14.65,85311011,WBD
18,2022-07-15,13.96,88477111,WBD
19,2022-07-08,13.99,72222474,WBD
20,2022-07-01,14.25,122933153,WBD
21,2022-06-24,14.28,98417333,WBD
22,2022-06-17,14.22,137303965,WBD
23,2022-06-10,14.86,105950521,WBD
24,2022-06-03,17.5,77080772,WBD
25,2022-05-27,18.76,90588546,WBD
26,2022-05-20,17.74,92332411,WBD
27,2022-05-13,18.1,93833466,WBD
28,2022-05-06,17.75,106660627,WBD
29,2022-04-29,18.15,149422093,WBD
30,2022-04-22,20.57,176920225,WBD
31,2022-04-14,24.88,214086520,WBD
32,2022-04-08,24.43,22358900,WBD
33,2022-04-05,24.42,19717794,WBD
34,2022-04-01,25.02,37437849,WBD
35,2022-03-25,27.35,23292379,WBD
36,2022-03-18,26.26,35406023,WBD
37,2022-03-11,23.99,46063182,WBD
38,2022-03-04,26.89,42039034,WBD
39,2022-02-25,28.24,44888385,WBD
40,2022-02-18,29.86,35407245,WBD
41,2022-02-11,29.57,37062366,WBD
42,2022-02-04,28.9,63383508,WBD
43,2022-01-28,27.15,53825847,WBD
44,2022-01-21,26.19,37174779,WBD
45,2022-01-14,31.18,45369708,WBD
46,2022-01-07,30.06,84927061,WBD
47,2021-12-31,23.54,24869882,WBD
48,2021-12-23,24.42,21199012,WBD
49,2021-12-17,23.28,32569436,WBD
50,2021-12-10,23.29,29496913,WBD
51,2021-12-03,23.99,45215230,WBD
52,2021-11-26,24.72,19044674,WBD
53,2021-11-19,25.26,29787309,WBD
54,2021-11-12,27.91,35944773,WBD
55,2021-11-05,26.52,41568912,WBD
56,2021-10-29,23.44,28778079,WBD
57,2021-10-22,25.1,27241056,WBD
58,2021-10-15,24.83,28433429,WBD
59,2021-10-08,25.89,30386345,WBD
60,2021-10-01,25.74,21460904,WBD
61,2021-09-24,25.3,33774819,WBD
62,2021-09-17,26.88,35276450,WBD
63,2021-09-10,26.15,20531544,WBD
64,2021-09-03,28.31,18924085,WBD
65,2021-08-27,28.28,17423956,WBD
66,2021-08-20,28.07,22987009,WBD
67,2021-08-13,28.42,17185366,WBD
68,2021-08-06,29.04,34598523,WBD
69,2021-07-30,29.01,52002654,WBD
70,2021-07-23,28.47,22206176,WBD
71,2021-07-16,28.18,26686122,WBD
72,2021-07-09,29.3,20623606,WBD
73,2021-07-02,31.14,26626849,WBD
74,2021-06-25,30.86,37324303,WBD
75,2021-06-18,29.08,37173085,WBD
76,2021-06-11,30.79,36945146,WBD
77,2021-06-04,31.55,28080961,WBD
78,2021-05-28,32.11,51623493,WBD
79,2021-05-21,31.47,176700158,WBD
80,2021-05-14,35.65,29664221,WBD
81,2021-05-07,37.56,40966170,WBD
82,2021-04-30,37.66,53605211,WBD
83,2021-04-23,38.4,75908574,WBD
84,2021-04-16,37.34,87675898,WBD
85,2021-04-09,42.0,90380450,WBD
86,2021-04-01,43.31,159714177,WBD
87,2021-03-26,41.9,158980486,WBD
88,2021-03-19,77.27,57509741,WBD
89,2021-03-12,71.1,66079922,WBD
90,2021-03-05,64.25,43414023,WBD
91,2021-02-26,53.03,55024883,WBD
92,2021-02-19,50.79,28327648,WBD
93,2021-02-12,47.8,26123349,WBD
94,2021-02-05,42.67,39715876,WBD
95,2021-01-29,41.42,102185013,WBD
96,2021-01-22,37.49,28279478,WBD
97,2021-01-15,36.76,44592909,WBD
98,2021-01-08,34.63,56775974,WBD
99,2020-12-31,30.09,17660008,WBD
100,2020-12-24,28.57,23857674,WBD
101,2020-12-18,27.8,32237647,WBD
102,2020-12-11,28.93,38521242,WBD
103,2020-12-04,28.48,45593967,WBD
104,2020-11-27,27.48,24905303,WBD
105,2020-11-20,25.49,34610982,WBD
106,2020-11-13,23.12,23885871,WBD
107,2020-11-06,20.93,30083413,WBD
108,2020-10-30,20.24,23191065,WBD
109,2020-10-23,21.1,14409875,WBD
110,2020-10-16,20.96,19836917,WBD
111,2020-10-09,22.24,13515292,WBD
112,2020-10-02,21.5,14438305,WBD
113,2020-09-25,21.33,16285823,WBD
114,2020-09-18,23.88,21096094,WBD
115,2020-09-11,22.83,20173142,WBD
116,2020-09-04,22.81,27085643,WBD
117,2020-08-28,22.875,15870642,WBD
118,2020-08-21,21.99,11549063,WBD
119,2020-08-14,22.62,20511969,WBD
120,2020-08-07,20.98,31254292,WBD
121,2020-07-31,21.1,11407571,WBD
122,2020-07-24,21.15,14033200,WBD
123,2020-07-17,21.42,22664100,WBD
124,2020-07-10,20.23,24957400,WBD
125,2020-07-02,20.79,16113600,WBD
126,2020-06-26,20.26,23834057,WBD
127,2020-06-19,22.15,24469413,WBD
128,2020-06-12,22.07,32999591,WBD
129,2020-06-05,24.78,24271259,WBD
130,2020-05-29,21.75,21963750,WBD
131,2020-05-22,20.295,21313841,WBD
132,2020-05-15,20.47,37624425,WBD
133,2020-05-08,21.085,38281320,WBD
134,2020-05-01,21.67,27033119,WBD
135,2020-04-24,21.02,18749671,WBD
136,2020-04-17,22.14,18757479,WBD
137,2020-04-09,22.32,21915528,WBD
138,2020-04-03,18.36,27222156,WBD
139,2020-03-27,19.03,34297774,WBD
140,2020-03-20,18.76,32976319,WBD
141,2020-03-13,22.89,34784188,WBD
142,2020-03-06,25.44,37744181,WBD
143,2020-02-28,25.7,51308926,WBD
144,2020-02-21,29.205,15789260,WBD
145,2020-02-14,30.21,19639000,WBD
146,2020-02-07,29.79,17407714,WBD
147,2020-01-31,29.26,20286442,WBD
148,2020-01-24,30.32,19293691,WBD
149,2020-01-17,32.43,18114976,WBD
150,2020-01-10,31.85,19750523,WBD
151,2020-01-03,32.03,12269219,WBD
152,2019-12-27,33.13,7325111,WBD
153,2019-12-20,32.95,13156415,WBD
154,2019-12-13,32.34,13031624,WBD
155,2019-12-06,32.04,18713693,WBD
156,2019-11-29,32.94,16637293,WBD
157,2019-11-22,32.535,29925850,WBD
158,2019-11-15,29.72,22519766,WBD
159,2019-11-08,30.905,30229144,WBD
160,2019-11-01,27.26,17060751,WBD
161,2019-10-25,27.57,16586899,WBD
162,2019-10-18,27.71,13454652,WBD
163,2019-10-11,27.97,14390162,WBD
164,2019-10-04,27.01,17280362,WBD
165,2019-09-27,26.8,20513901,WBD
166,2019-09-20,26.23,21761621,WBD
167,2019-09-13,27.89,18007141,WBD
168,2019-09-06,27.34,14759245,WBD
169,2019-08-30,27.6,17743519,WBD
170,2019-08-23,27.01,13626768,WBD
171,2019-08-16,27.95,25577578,WBD
172,2019-08-09,29.46,25423722,WBD
173,2019-08-02,29.43,20634723,WBD
174,2019-07-26,31.47,15267138,WBD
175,2019-07-19,31.46,25580594,WBD
176,2019-07-12,32.41,17357142,WBD
177,2019-07-05,31.26,11268605,WBD
178,2019-06-28,30.7,16840765,WBD
179,2019-06-21,30.69,20191132,WBD
180,2019-06-14,29.02,18164056,WBD
181,2019-06-07,28.42,18666801,WBD
182,2019-05-31,27.26,15745858,WBD
183,2019-05-24,27.14,16400409,WBD
184,2019-05-17,27.87,20504822,WBD
185,2019-05-10,28.46,24418332,WBD
186,2019-05-03,29.34,27213935,WBD
187,2019-04-26,31.51,20545456,WBD
188,2019-04-18,30.13,9943827,WBD
189,2019-04-12,30.02,27876759,WBD
190,2019-04-05,29.48,18834208,WBD
191,2019-03-29,27.02,17778542,WBD
192,2019-03-22,26.67,23781430,WBD
193,2019-03-15,27.43,24320144,WBD
194,2019-03-08,28.92,12901114,WBD
195,2019-03-01,29.08,30877268,WBD
196,2019-02-22,29.21,9028182,WBD
197,2019-02-15,29.3,20624340,WBD
198,2019-02-08,29.19,18786917,WBD
199,2019-02-01,28.56,24952570,WBD
200,2019-01-25,27.68,13677954,WBD
201,2019-01-18,27.71,12897152,WBD
202,2019-01-11,27.12,17390770,WBD
203,2019-01-04,26.14,17495865,WBD
204,2018-12-28,24.64,12612559,WBD
205,2018-12-21,25.05,28252449,WBD
206,2018-12-14,27.97,21592889,WBD
207,2018-12-07,28.93,36367246,WBD
208,2018-11-30,30.72,17777298,WBD
209,2018-11-23,30.43,14477494,WBD
210,2018-11-16,31.44,19416527,WBD
211,2018-11-09,32.98,24061039,WBD
212,2018-11-02,32.31,21289425,WBD
213,2018-10-26,30.13,26034904,WBD
214,2018-10-19,33.4,21871670,WBD
215,2018-10-12,31.76,19456394,WBD
216,2018-10-05,32.93,24117179,WBD
217,2018-09-28,32.0,17011178,WBD
218,2018-09-21,31.8,20472722,WBD
219,2018-09-14,32.18,27767934,WBD
220,2018-09-07,27.95,15108466,WBD
221,2018-08-31,27.83,12634339,WBD
222,2018-08-24,28.54,19707128,WBD
223,2018-08-17,26.95,16313369,WBD
224,2018-08-10,25.99,23357374,WBD
225,2018-08-03,27.06,13808449,WBD
226,2018-07-27,26.03,13506851,WBD
227,2018-07-20,26.58,17279236,WBD
228,2018-07-13,27.44,15791917,WBD
229,2018-07-06,27.87,12488441,WBD
230,2018-06-29,27.5,25132597,WBD
231,2018-06-22,28.12,32692789,WBD
232,2018-06-15,27.17,40188966,WBD
233,2018-06-08,23.02,31587635,WBD
234,2018-06-01,20.95,22742134,WBD
235,2018-05-25,22.34,17627264,WBD
236,2018-05-18,22.57,32991041,WBD
237,2018-05-11,24.03,38406883,WBD
238,2018-05-04,23.16,33591904,WBD
239,2018-04-27,23.95,25826236,WBD
240,2018-04-20,23.16,20879827,WBD
241,2018-04-13,22.83,23787885,WBD
242,2018-04-06,22.62,24870464,WBD
243,2018-03-29,21.43,24563047,WBD
244,2018-03-23,21.08,35813188,WBD
245,2018-03-16,23.21,21640809,WBD
246,2018-03-09,24.19,30901659,WBD
247,2018-03-02,24.67,45631726,WBD
248,2018-02-23,24.01,14891312,WBD
249,2018-02-16,23.86,18668493,WBD
250,2018-02-09,22.61,31591450,WBD
251,2018-02-02,23.81,26702028,WBD
252,2018-01-26,26.04,18537301,WBD
253,2018-01-19,25.71,19765561,WBD
254,2018-01-12,24.33,31184715,WBD
255,2018-01-05,22.0,26614302,WBD
256,2017-12-29,22.38,15443286,WBD
257,2017-12-22,23.73,37218870,WBD
258,2017-12-15,21.04,37206907,WBD
259,2017-12-08,19.66,39633857,WBD
260,2017-12-01,19.46,37547878,WBD
261,2017-11-24,17.5,18182525,WBD
262,2017-11-17,17.55,26529024,WBD
263,2017-11-10,17.19,34665414,WBD
264,2017-11-03,16.52,43142758,WBD
265,2017-10-27,19.08,18483472,WBD
266,2017-10-20,20.29,27413103,WBD
267,2017-10-13,19.24,26648882,WBD
268,2017-10-06,21.41,12071221,WBD
269,2017-09-29,21.29,11021101,WBD
270,2017-09-22,21.41,16847394,WBD
271,2017-09-15,21.94,26519925,WBD
272,2017-09-08,21.25,15884651,WBD
273,2017-09-01,22.16,15561895,WBD
274,2017-08-25,22.66,12062181,WBD
275,2017-08-18,22.49,18183428,WBD
276,2017-08-11,22.91,21870000,WBD
277,2017-08-04,23.73,49560344,WBD
278,2017-07-28,26.8,33624397,WBD
279,2017-07-21,26.55,25891274,WBD
280,2017-07-14,26.22,8358799,WBD
281,2017-07-07,25.82,6453601,WBD
282,2017-06-30,25.83,12950606,WBD
283,2017-06-23,25.79,11941586,WBD
284,2017-06-16,26.52,13491984,WBD
285,2017-06-09,26.1,16236711,WBD
286,2017-06-02,26.49,13499433,WBD
287,2017-05-26,25.87,13240649,WBD
288,2017-05-19,25.87,13732549,WBD
289,2017-05-12,26.07,22147248,WBD
290,2017-05-05,27.09,27866762,WBD
291,2017-04-28,28.78,10905684,WBD
292,2017-04-21,29.16,9014037,WBD
293,2017-04-13,28.29,8624057,WBD
294,2017-04-07,29.21,16076582,WBD
295,2017-03-31,29.09,12459416,WBD
296,2017-03-24,27.54,9183300,WBD
297,2017-03-17,28.01,11915923,WBD
298,2017-03-10,27.69,16277629,WBD
299,2017-03-03,27.89,15018581,WBD
300,2017-02-24,29.27,13168372,WBD
301,2017-02-17,28.68,21120686,WBD
302,2017-02-10,28.48,11000805,WBD
303,2017-02-03,28.09,11910398,WBD
304,2017-01-27,28.06,15721236,WBD
305,2017-01-20,27.89,9357109,WBD
306,2017-01-13,27.4,19886495,WBD
307,2017-01-06,27.48,11645675,WBD
