,Date,CLOSE_PRICE,VOLUME,SYMBOL
0,2022-11-15,0.8015,38480902,WISH
1,2022-11-11,0.8272,101060761,WISH
2,2022-11-04,0.6871,87568334,WISH
3,2022-10-28,0.7222,91924120,WISH
4,2022-10-21,0.7663,84196047,WISH
5,2022-10-14,0.6897,105080582,WISH
6,2022-10-07,0.7553,112928390,WISH
7,2022-09-30,0.7339,134685675,WISH
8,2022-09-23,0.8292,149122396,WISH
9,2022-09-16,0.9895,79902584,WISH
10,2022-09-09,1.29,41469704,WISH
11,2022-09-02,1.21,40838896,WISH
12,2022-08-26,1.27,45144294,WISH
13,2022-08-19,1.45,73369007,WISH
14,2022-08-12,1.69,66780765,WISH
15,2022-08-05,1.79,51959864,WISH
16,2022-07-29,1.5,45841981,WISH
17,2022-07-22,1.57,45093315,WISH
18,2022-07-15,1.49,45215211,WISH
19,2022-07-08,1.63,49324447,WISH
20,2022-07-01,1.63,55860655,WISH
21,2022-06-24,1.95,133393336,WISH
22,2022-06-17,1.87,68028991,WISH
23,2022-06-10,1.8,78387865,WISH
24,2022-06-03,1.79,51198760,WISH
25,2022-05-27,1.8,55456947,WISH
26,2022-05-20,1.64,67629516,WISH
27,2022-05-13,1.54,102486567,WISH
28,2022-05-06,1.61,69037631,WISH
29,2022-04-29,1.7,75447554,WISH
30,2022-04-22,1.73,87284758,WISH
31,2022-04-14,2.02,44109665,WISH
32,2022-04-08,2.1,56579473,WISH
33,2022-04-01,2.28,70832364,WISH
34,2022-03-25,2.32,95765984,WISH
35,2022-03-18,2.18,118261170,WISH
36,2022-03-11,1.88,82178935,WISH
37,2022-03-04,1.9,103381254,WISH
38,2022-02-25,2.27,113737741,WISH
39,2022-02-18,2.17,121347816,WISH
40,2022-02-11,2.26,126889200,WISH
41,2022-02-04,2.35,118138429,WISH
42,2022-01-28,2.31,119324344,WISH
43,2022-01-21,2.47,84581337,WISH
44,2022-01-14,2.53,100911105,WISH
45,2022-01-07,2.76,129360207,WISH
46,2021-12-31,3.11,104765358,WISH
47,2021-12-23,3.58,92388007,WISH
48,2021-12-17,3.23,103112132,WISH
49,2021-12-10,3.58,106213768,WISH
50,2021-12-03,3.28,154106779,WISH
51,2021-11-26,3.92,122210869,WISH
52,2021-11-19,4.25,138688092,WISH
53,2021-11-12,5.41,243127739,WISH
54,2021-11-05,4.93,119181812,WISH
55,2021-10-29,5.1,121329162,WISH
56,2021-10-22,5.2,285166963,WISH
57,2021-10-15,5.04,97806611,WISH
58,2021-10-08,5.01,194328432,WISH
59,2021-10-01,5.35,179016951,WISH
60,2021-09-24,6.02,194118430,WISH
61,2021-09-17,6.54,183233545,WISH
62,2021-09-10,6.8,124743084,WISH
63,2021-09-03,7.24,137933758,WISH
64,2021-08-27,6.94,184856966,WISH
65,2021-08-20,6.63,266887042,WISH
66,2021-08-13,7.55,379019124,WISH
67,2021-08-06,9.83,120471915,WISH
68,2021-07-30,9.94,153597233,WISH
69,2021-07-23,9.18,185795906,WISH
70,2021-07-16,9.27,224888561,WISH
71,2021-07-09,11.14,254757556,WISH
72,2021-07-02,11.65,526396565,WISH
73,2021-06-25,14.04,1028203355,WISH
74,2021-06-18,11.4,638578570,WISH
75,2021-06-11,10.0,764622649,WISH
76,2021-06-04,8.29,74382402,WISH
77,2021-05-28,7.94,107079102,WISH
78,2021-05-21,9.32,42861057,WISH
79,2021-05-14,9.79,93510592,WISH
80,2021-05-07,12.61,26515136,WISH
81,2021-04-30,13.87,28489953,WISH
82,2021-04-23,13.54,24533414,WISH
83,2021-04-16,12.44,27155730,WISH
84,2021-04-09,13.65,29205988,WISH
85,2021-04-01,15.65,18028169,WISH
86,2021-03-26,16.21,23067290,WISH
87,2021-03-19,17.86,29957426,WISH
88,2021-03-12,18.64,47690477,WISH
89,2021-03-05,17.77,24385042,WISH
90,2021-02-26,19.61,34204608,WISH
91,2021-02-19,22.26,35651036,WISH
92,2021-02-12,27.45,11466722,WISH
93,2021-02-05,28.6,13023377,WISH
94,2021-01-29,30.07,32199771,WISH
95,2021-01-22,24.75,13657722,WISH
96,2021-01-15,24.835,44753453,WISH
97,2021-01-08,20.36,26518743,WISH
98,2020-12-31,18.24,31135028,WISH
99,2020-12-24,20.09,24767485,WISH
